OBJECTID_1,name,MGRS_10km,POINT_X,POINT_Y
"1",Talpa romana,34TDM95,20.93958189000,42.04703772920
"2",Talpa romana,34TDM70,20.70002067520,41.59631479880
"3",Talpa romana,34TEM22,21.30081727040,41.77645557500
"4",Talpa romana,34TEM31,21.42055360900,41.68600902560
"5",Talpa romana,34TEL58,21.65811120840,41.41467506160
"6",Talpa romana,34TEL57,21.65720411670,41.32460440140
"7",Talpa romana,34TEL47,21.53771806500,41.32522463390
"8",Talpa romana,34TEL36,21.41765398490,41.23564523140
"9",Talpa romana,34TEL35,21.41708192230,41.14556820910
"10",Talpa romana,34TDL85,20.82124875540,41.14618457840
"11",Talpa romana,34TDL75,20.70208249180,41.14593802850
"12",Talpa romana,34TDL76,20.70167386610,41.23601621800
"13",Talpa romana,34TDL83,20.82173579050,40.96602240000
"14",Talpa romana,34TEL04,21.05950251460,41.05622708420
"15",Talpa romana,34TEL14,21.17850717520,41.05610419620
"16",Talpa romana,34TEL13,21.17826420960,40.96602240000
"17",Talpa romana,34TEL63,21.77244651570,40.96357253170
"18",Apodemus agrarius,33TUL98,13.64615370360,45.91055434770
"19",Apodemus agrarius,33TVL08,13.80773032360,45.91234852350
"20",Apodemus agrarius,33TUL84,13.52675224420,45.54904324490
"21",Apodemus agrarius,33TUL83,13.52909789370,45.45906168900
"22",Apodemus agrarius,33TUL93,13.68941642080,45.46100797460
"23",Apodemus agrarius,33TUL92,13.62659685110,45.37025677620
"24",Apodemus agrarius,33TUL91,13.69356425240,45.28102816690
"25",Apodemus agrarius,33TVL02,13.78677190440,45.37207672350
"26",Apodemus agrarius,33TVL11,13.94842283020,45.28365934220
"27",Apodemus agrarius,33TVL13,13.91272968590,45.46335821420
"28",Apodemus agrarius,33TVL14,13.94340226240,45.55365153520
"29",Apodemus agrarius,33TVL04,13.78290487780,45.55206012270
"30",Apodemus agrarius,33TVL35,14.19822858990,45.64573439090
"31",Apodemus agrarius,33TVL62,14.55297768320,45.37764573820
"32",Apodemus agrarius,33TVL30,14.17246836470,45.19549296800
"33",Apodemus agrarius,33TUK99,13.66543253270,45.10067604680
"34",Apodemus agrarius,33TVK19,13.91958523400,45.10336352300
"35",Apodemus agrarius,33TWM10,15.19406184060,46.09841655780
"36",Apodemus agrarius,33TWL29,15.32290976980,46.00812251010
"37",Apodemus agrarius,33TWL27,15.32186731590,45.82811584570
"38",Apodemus agrarius,33TWL37,15.45061079290,45.82768066140
"39",Apodemus agrarius,33TWL38,15.45133875570,45.91768334690
"40",Apodemus agrarius,33TWL39,15.45207018780,46.00768459970
"41",Apodemus agrarius,33TWL48,15.58028673800,45.91710130050
"42",Apodemus agrarius,33TWL57,15.70808641450,45.82637516060
"43",Apodemus agrarius,33TWL59,15.71037955690,46.00637092180
"44",Apodemus agrarius,33TWM64,15.84641540240,46.45544549810
"45",Apodemus agrarius,33TWM84,16.10680726590,46.45322184650
"46",Apodemus agrarius,33TWM95,16.23903286470,46.54186233100
"47",Apodemus agrarius,33TWM86,16.11047089830,46.63317785210
"48",Apodemus agrarius,33TXM05,16.36942122690,46.54037547490
"49",Apodemus agrarius,33TXM15,16.49979874810,46.53874004930
"50",Apodemus agrarius,33TXM24,16.62747808170,46.44699682240
"51",Apodemus agrarius,33TXM13,16.49486715960,46.35880886790
"52",Apodemus agrarius,33TXM41,16.91167293900,46.17258968420
"53",Apodemus agrarius,33TWL78,15.96709996000,45.91448228310
